Issue Type,Patch Info,Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,LUCENE-4890 ,QueryTreeBuilder.getBuilder() only finds interfaces on the most derived class,Adriano Crestani,Philip Searle,Minor,Closed,Fixed,27/Mar/13 22:04,21/Mar/14 00:46,
Improvement,,KAFKA-1312 ,Update gitignore to ignore IDE generated files,Unassigned,Timothy Chen,Trivial,Closed,Fixed,19/Mar/14 22:58,20/Mar/14 23:30,
Sub-task,,HBASE-6524 ,HBASE-6449 Hooks for hbase tracing,Jonathan Leavitt,Jonathan Leavitt,Major,Closed,Fixed,08/Aug/12 03:49,20/Mar/14 23:26,
Bug,,CLOUDSTACK-6073 ,Contrail:MS: Reboot Xen hosts and guest VM's get auto deleted after being migrated to another host,Parth Jagirdar,Parth Jagirdar,Blocker,Closed,Fixed,11/Feb/14 05:31,20/Mar/14 23:23,
Wish,,INFRA-7468 ,Request for a new Git Repository for Olingo,Jake Farrell,Bing Li,Major,Closed,Fixed,19/Mar/14 11:53,20/Mar/14 23:05,
Bug,,INFRA-7470 ,http://git.apache.org/authors.txt not up to date?,Jake Farrell,Mirko Friedenhagen,Minor,Closed,Fixed,20/Mar/14 03:14,20/Mar/14 22:55,
Bug,,TIKA-1262 ,parseToString fails to detect content-type / charset,Unassigned,Jeremy McLain,Major,Closed,Not A Problem,20/Mar/14 05:00,20/Mar/14 22:42,
Sub-task,,INFRA-7476 ,INFRA-7473 Tajo TLP: reviewboard scm url update,Jake Farrell,Hyunsik Choi,Major,Closed,Fixed,20/Mar/14 11:27,20/Mar/14 22:41,
Bug,,PROTON-392 ,proton-jni build fails,Unassigned,Hiram Chirino,Major,Closed,Invalid,08/Aug/13 18:30,20/Mar/14 22:22,
New Feature,,HADOOP-7257 ,A client side mount table to give per-application/per-job file system view,Sanjay Radia,Sanjay Radia,Major,Closed,Fixed,20/Mar/10 05:24,20/Mar/14 21:31,
Improvement,,WICKET-5242 ,Disable escaping of html tag attributes,Unassigned,Bertrand Guay-Paquet,Major,Closed,Cannot Reproduce,19/Jun/13 19:39,20/Mar/14 21:27,
Improvement,,THRIFT-2417 ,C# Union classes are not partial,T Jake Luciani,T Jake Luciani,Trivial,Closed,Fixed,20/Mar/14 19:23,20/Mar/14 20:31,
Test,,CLOUDSTACK-5113 ,"[Automation] ""get_template"" function in command should return default templates",Srikanteswararao Talluri,Rayees Namathponnan,Major,Closed,Fixed,09/Nov/13 04:45,20/Mar/14 19:08,
New Feature,,OFBIZ-4952 ,BIRT Web Viewer Integration,Jacques Le Roux,Chatree Srichart,Major,Closed,Implemented,04/Jul/12 18:52,20/Mar/14 16:18,
Bug,,OFBIZ-5575 ,"Form widget/ FTL pagination, Last does not take to last page",Jacques Le Roux,Vyom Jain,Major,Closed,Fixed,13/Mar/14 23:38,20/Mar/14 16:07,
Bug,,OFBIZ-5587 ,Error when add product to sales order,Jacopo Cappellato,nguyenthang,Major,Closed,Not A Problem,20/Mar/14 07:50,20/Mar/14 15:20,
